-057.68 ; -015.30 ; * ; r 
-057.79 ; -014.36 ; * ; r 
-055.66 ; -015.03 ; * ; r 
-052.39 ; -003.25 ; * ; r 
-046.55 ; -000.44 ; * ; r 
-047.97 ; -007.03 ; * ; r 
-047.59 ; -008.09 ; * ; r 
-049.23 ; -006.85 ; * ; r 
-048.61 ; -006.83 ; * ; r 
-045.28 ; -007.70 ; * ; r 
-044.51 ; -007.82 ; * ; r 
-039.66 ; -021.76 ; * ; r 
-033.50 ; -025.67 ; * ; r 
-157.85 ; -041.55 ; * ; r 
-158.01 ; -042.14 ; * ; r 
-178.10 ; -050.43 ; * ; r 
-179.46 ; -056.16 ; * ; r 
-179.57 ; -054.05 ; * ; r 
-176.58 ; -054.53 ; * ; r 
-178.71 ; -062.98 ; * ; r 
-163.21 ; -045.98 ; * ; r 
-171.32 ; -053.67 ; * ; r 
-171.17 ; -052.93 ; * ; r 
-172.27 ; -053.16 ; * ; r 
-173.44 ; -055.14 ; * ; r 
-172.32 ; -056.32 ; * ; r 
-173.69 ; -056.80 ; * ; r 
-173.59 ; -059.18 ; * ; r 
-176.27 ; -061.82 ; * ; r 
-174.18 ; -061.71 ; * ; r 
-169.17 ; -064.57 ; * ; r 
-175.43 ; -062.77 ; * ; r 
-169.81 ; -058.14 ; * ; r 
-165.56 ; -064.17 ; * ; r 
-163.00 ; -063.72 ; * ; r 
-163.34 ; -061.47 ; * ; r 
-161.92 ; -059.24 ; * ; r 
-159.82 ; -063.61 ; * ; r 
-158.92 ; -059.06 ; * ; r 
-159.75 ; -062.07 ; * ; r 
-158.93 ; -062.32 ; * ; r 
-161.13 ; -061.17 ; * ; r 
-160.17 ; -061.52 ; * ; r 
-157.43 ; -062.15 ; * ; r 
-156.79 ; -061.54 ; * ; r 
-155.92 ; -063.01 ; * ; r 
-154.94 ; -061.73 ; * ; r 
-149.78 ; -050.78 ; * ; r 
-149.52 ; -053.58 ; * ; r 
-143.83 ; -051.25 ; * ; r 
-144.21 ; -052.46 ; * ; r 
-145.16 ; -056.13 ; * ; r 
-145.03 ; -057.25 ; * ; r 
-147.75 ; -063.41 ; * ; r 
-152.25 ; -062.16 ; * ; r 
-151.39 ; -060.38 ; * ; r 
-150.70 ; -061.02 ; * ; r 
-150.97 ; -062.81 ; * ; r 
-149.69 ; -059.01 ; * ; r 
-148.33 ; -061.87 ; * ; r 
